entry_date,exit_date,direction,entry,exit,sl,tp,size,pnl_pct,pnl_abs,reason,div_type
2020-02-07,2020-02-10,short,77.82123854389138,76.81698755083056,78.3233640404218,76.81698755083056,30996.72853962642,1.0904587640229109,338.00654292074717,tp,classical
2020-02-18,2020-02-24,short,76.12900862033511,70.40291823814194,78.9920538114317,70.40291823814194,5492.479836378283,7.321561735750305,402.13530204407334,tp,classical
2020-05-13,2020-05-21,short,75.55807493186354,77.38316751508312,77.38316751508312,71.9078897654244,8875.916813275051,-2.6154831695558634,-232.1481103949881,sl,reverse
2020-05-21,2020-05-22,short,77.13386219842414,76.71750301553496,77.34204178986873,76.71750301553496,77637.51449386917,0.33978780657723545,263.8028075798013,tp,reverse
2020-07-31,2020-08-31,long,99.61613418906329,126.22305788122273,86.31267234298356,126.22305788122273,1606.9624665757017,26.509452147241202,425.99694610101255,tp,reverse
2020-09-25,2020-10-12,long,105.17424100477153,115.51418266064529,100.00427017683465,115.51418266064529,4534.739502794787,9.631249132004344,436.752059001581,tp,reverse
2021-01-28,2021-02-18,short,135.5642045936499,124.73998039776421,140.97631669159273,124.73998039776421,5796.750088717334,7.784573972407392,451.252298651792,tp,classical
2021-08-18,2021-08-19,short,146.23665278463994,142.56621516572926,148.07187159409528,142.56621516572926,19141.292586615917,2.3099299997765055,442.1504598032373,tp,classical
2021-08-25,2021-08-26,short,146.24636116832204,144.19630108938298,147.27139120779157,144.19630108938298,35500.344409067984,1.201785359007696,426.63794150548614,tp,classical
2021-09-09,2021-09-10,short,151.79127971049815,148.33552693458728,153.51915609845358,148.33552693458728,22586.124978128904,2.076647764286462,469.0342593972601,tp,classical
2021-12-29,2022-01-03,short,175.31964543980357,177.2749361221624,177.2749361221624,171.40906407508592,23871.025941126572,-1.3152718666831753,-313.9688884922805,sl,classical
2022-01-28,2022-02-24,long,162.00427111169125,151.2404450916643,151.2404450916643,183.53192315174516,3908.4121792614487,-6.844161876822376,-267.4980563620947,sl,reverse
2022-03-09,2022-03-11,long,158.0699979293642,152.50992837199067,152.50992837199067,169.19013704411128,7223.128278265678,-3.7174730373933027,-268.51784620085766,sl,classical
2022-06-21,2022-06-27,long,130.79442925101708,139.38202209718807,126.50063282793158,139.38202209718807,7568.012415402244,6.365717588544936,481.75829743052515,tp,classical
2022-11-10,2022-11-21,long,138.88285345399055,147.65398361312236,132.1373429796548,152.37387440266207,5308.524105979039,6.1154881549417,324.64216290337293,opposite_signal,classical
2022-11-21,2022-11-29,short,147.65398361312236,140.90847608092514,151.02673737922098,140.90847608092514,11560.530698922777,4.368456175128711,505.01671719474234,tp,reverse
2023-03-27,2023-03-30,short,157.51092158923748,159.67749219321786,159.67749219321786,153.17778038127673,19913.061348471332,-1.5755050012534584,-313.7312774478352,sl,classical
2023-04-05,2023-04-10,short,162.2379998945446,158.1017663172114,164.3061166832112,158.1017663172114,20973.382248852053,2.3494850651646164,492.76648359666575,tp,classical
2023-04-17,2023-04-18,short,162.58266215472722,163.794009087704,163.794009087704,160.15996828877363,37170.51543147591,-0.9450652590643254,-351.28562795802287,sl,classical
2023-04-20,2023-04-27,short,163.5675258869679,165.60607111909823,165.60607111909823,159.49043542270724,21635.362461427434,-1.446301930090361,-312.9126648616704,sl,classical
2023-05-02,2023-05-03,short,167.50674796522142,167.86123657890911,167.86123657890911,166.79777073784604,124329.4601579987,-0.4116264675864242,-511.77296501764073,sl,classical
2023-05-12,2023-05-15,short,171.2196142676148,169.78204457131446,171.93839911576495,169.78204457131446,60174.78481220115,0.6396057323510963,384.88137308877543,tp,classical
2023-05-22,2023-05-26,short,171.57466634347682,170.92379413047703,173.95136353170963,166.8212719670112,18773.864369555275,0.17935216595251863,33.67133237978554,opposite_signal,classical
2023-05-26,2023-05-30,long,170.92379413047703,176.446400792731,168.16249079935005,176.446400792731,16123.248079400339,3.0310344445304116,488.7012028637123,tp,reverse
2023-07-20,2023-08-04,short,192.39279363664537,186.19958920464018,195.48939585264796,186.19958920464018,16774.39543581089,3.0190417920235233,506.4260085664172,tp,classical
2023-08-22,2023-08-30,long,174.84785755399471,184.92032745434372,169.8116226038202,184.92032745434372,9715.68289114289,5.560705359079695,540.2604991989717,tp,reverse
2023-10-02,2023-10-09,long,169.0808338409062,176.19090586558386,165.52579782856736,176.19090586558386,13810.330126728097,4.005131866907971,553.121932830779,tp,classical
2023-10-31,2023-11-02,long,167.23417191335412,174.50223091602268,163.60014241201984,174.50223091602268,13858.297262279762,4.146037008772482,574.5701332798226,tp,classical
2023-12-11,2023-12-13,short,190.9485830810774,193.79635031367135,193.79635031367135,185.2530486158895,20942.604478610043,-1.6913790857430875,-354.2188321611054,sl,classical
2024-04-03,2024-04-04,long,167.11374996517486,168.22262776957706,166.55931106297376,168.22262776957706,91911.2111748963,0.46354671870703573,426.0514035251262,tp,classical
2024-04-05,2024-04-10,long,167.90579979250484,166.55931106297376,166.55931106297376,170.59877725156696,39049.86685504015,-1.001931041807396,-391.25273780510474,sl,classical
2024-04-24,2024-04-29,long,164.88609429896647,169.75722795723794,162.45052746983075,169.75722795723794,20649.278791865905,2.7542416411654966,568.7310350859264,tp,classical
2024-06-06,2024-06-07,short,194.0094297097739,195.20900403542353,195.20900403542353,191.61028105847467,51120.92957272062,-0.8183072273569951,-418.32626138565223,sl,classical
2024-10-01,2024-10-07,short,227.81225543239978,220.90402093587122,231.26637268066406,220.90402093587122,20274.325005526705,2.8324244336268776,574.2549352094621,tp,classical
2024-11-13,2024-11-19,long,222.5878574334345,228.6751000139205,219.54423614319148,228.6751000139205,23298.537903590877,2.53475950156285,590.5619032364917,tp,reverse
